iter	Passed	Remaining
0	117	117554
1	139	69496
2	167	55499
3	197	49118
4	224	44662
5	249	41398
6	276	39167
7	300	37319
8	327	36047
9	355	35147
10	381	34256
11	403	33227
12	431	32744
13	456	32146
14	482	31667
15	507	31225
16	529	30625
17	551	30100
18	581	30034
19	614	30110
20	641	29886
21	663	29508
22	690	29340
23	715	29113
24	741	28935
25	769	28822
26	794	28648
27	817	28364
28	843	28257
29	870	28156
30	894	27965
31	923	27930
32	949	27824
33	978	27797
34	1010	27865
35	1037	27771
36	1061	27621
37	1087	27529
38	1111	27389
39	1135	27248
40	1162	27181
41	1188	27104
42	1213	27013
43	1237	26893
44	1265	26851
45	1290	26762
46	1314	26657
47	1339	26564
48	1354	26293
49	1386	26346
50	1414	26315
51	1438	26220
52	1464	26163
53	1488	26085
54	1512	25988
55	1537	25918
56	1560	25818
57	1583	25725
58	1607	25630
59	1632	25577
60	1658	25537
61	1697	25677
62	1721	25606
63	1746	25548
64	1772	25498
65	1797	25442
66	1823	25390
67	1848	25334
68	1873	25276
69	1898	25228
70	1923	25163
71	1949	25123
72	1972	25044
73	1998	25003
74	2022	24949
75	2049	24915
76	2076	24886
77	2102	24847
78	2126	24792
79	2150	24730
80	2173	24662
81	2197	24596
82	2221	24547
83	2245	24488
84	2270	24438
85	2293	24378
86	2318	24329
87	2344	24299
88	2368	24248
89	2395	24222
90	2421	24191
91	2444	24130
92	2466	24050
93	2490	24007
94	2516	23971
95	2540	23923
96	2564	23876
97	2592	23857
98	2617	23822
99	2642	23786
100	2664	23719
101	2689	23678
102	2715	23645
103	2736	23578
104	2760	23533
105	2780	23452
106	2806	23425
107	2832	23394
108	2857	23361
109	2881	23315
110	2906	23281
111	2929	23227
112	2954	23187
113	2979	23156
114	3005	23132
115	3030	23091
116	3053	23047
117	3077	23002
118	3103	22979
119	3128	22939
120	3153	22906
121	3178	22874
122	3203	22844
123	3229	22814
124	3255	22786
125	3276	22726
126	3299	22679
127	3322	22635
128	3349	22614
129	3372	22572
130	3400	22558
131	3424	22516
132	3450	22490
133	3473	22447
134	3497	22411
135	3521	22368
136	3546	22339
137	3570	22303
138	3596	22275
139	3620	22242
140	3648	22230
141	3673	22197
142	3695	22144
143	3719	22110
144	3745	22086
145	3772	22063
146	3796	22027
147	3821	22000
148	3845	21965
149	3869	21929
150	3894	21894
151	3920	21870
152	3943	21831
153	3967	21793
154	3990	21754
155	4015	21726
156	4040	21697
157	4067	21676
158	4091	21643
159	4119	21627
160	4141	21582
161	4167	21555
162	4191	21525
163	4218	21503
164	4241	21465
165	4267	21441
166	4292	21409
167	4317	21380
168	4340	21343
169	4367	21324
170	4392	21292
171	4420	21281
172	4445	21251
173	4470	21220
174	4496	21200
175	4521	21169
176	4546	21140
177	4571	21112
178	4593	21070
179	4620	21049
180	4642	21005
181	4668	20982
182	4693	20952
183	4716	20916
184	4744	20901
185	4766	20859
186	4791	20831
187	4815	20797
188	4839	20765
189	4864	20739
190	4887	20701
191	4912	20671
192	4937	20646
193	4961	20613
194	4984	20576
195	5010	20551
196	5035	20525
197	5059	20493
198	5083	20461
199	5108	20432
200	5135	20414
201	5157	20375
202	5184	20356
203	5208	20322
204	5232	20290
205	5256	20260
206	5282	20237
207	5307	20207
208	5331	20176
209	5355	20145
210	5379	20116
211	5411	20113
212	5434	20080
213	5456	20040
214	5482	20018
215	5505	19982
216	5534	19970
217	5556	19933
218	5582	19907
219	5605	19875
220	5630	19845
221	5653	19811
222	5680	19790
223	5702	19756
224	5730	19737
225	5753	19705
226	5778	19676
227	5802	19645
228	5828	19623
229	5853	19595
230	5875	19561
231	5899	19531
232	5926	19510
233	5949	19476
234	5976	19453
235	5999	19420
236	6023	19391
237	6048	19365
238	6073	19339
239	6099	19316
240	6123	19286
241	6147	19256
242	6172	19228
243	6195	19196
244	6219	19166
245	6243	19137
246	6268	19108
247	6293	19082
248	6317	19053
249	6349	19049
250	6373	19017
251	6395	18984
252	6420	18958
253	6444	18926
254	6471	18907
255	6496	18880
256	6520	18851
257	6545	18824
258	6570	18798
259	6595	18770
260	6619	18743
261	6646	18721
262	6670	18692
263	6695	18664
264	6719	18637
265	6744	18609
266	6767	18578
267	6792	18551
268	6813	18516
269	6836	18485
270	6859	18451
271	6884	18426
272	6911	18405
273	6934	18373
274	6960	18349
275	6983	18318
276	7009	18296
277	7034	18268
278	7061	18248
279	7085	18219
280	7116	18208
281	7143	18188
282	7167	18158
283	7193	18134
284	7216	18103
285	7241	18077
286	7264	18048
287	7291	18025
288	7314	17995
289	7343	17978
290	7365	17946
291	7391	17922
292	7414	17892
293	7446	17882
294	7474	17863
295	7498	17835
296	7523	17808
297	7548	17781
298	7572	17753
299	7598	17729
300	7623	17702
301	7646	17673
302	7670	17645
303	7695	17618
304	7720	17592
305	7748	17573
306	7772	17545
307	7797	17518
308	7821	17491
309	7847	17466
310	7872	17440
311	7899	17418
312	7921	17387
313	7949	17366
314	7973	17338
315	7998	17313
316	8023	17287
317	8049	17263
318	8077	17244
319	8102	17217
320	8128	17193
321	8152	17166
322	8176	17137
323	8201	17112
324	8229	17091
325	8253	17064
326	8279	17040
327	8303	17012
328	8330	16991
329	8355	16964
330	8380	16937
331	8404	16910
332	8428	16881
333	8453	16855
334	8477	16827
335	8502	16802
336	8528	16778
337	8557	16759
338	8581	16731
339	8609	16712
340	8636	16691
341	8660	16662
342	8688	16643
343	8714	16618
344	8740	16593
345	8769	16575
346	8791	16545
347	8816	16518
348	8840	16490
349	8865	16464
350	8891	16441
351	8919	16419
352	8944	16394
353	8976	16380
354	9002	16356
355	9027	16330
356	9053	16306
357	9079	16282
358	9106	16260
359	9131	16233
360	9158	16210
361	9185	16189
362	9211	16164
363	9234	16135
364	9261	16112
365	9285	16083
366	9310	16059
367	9336	16035
368	9368	16020
369	9395	15998
370	9421	15973
371	9447	15948
372	9473	15924
373	9500	15901
374	9527	15878
375	9552	15853
376	9577	15826
377	9605	15805
378	9632	15782
379	9658	15758
380	9684	15734
381	9708	15707
382	9732	15679
383	9764	15663
384	9795	15647
385	9821	15623
386	9847	15598
387	9874	15574
388	9900	15550
389	9926	15525
390	9955	15505
391	9981	15481
392	10005	15453
393	10031	15428
394	10055	15402
395	10084	15381
396	10109	15355
397	10137	15334
398	10169	15317
399	10194	15291
400	10219	15265
401	10246	15241
402	10270	15214
403	10297	15190
404	10322	15164
405	10349	15141
406	10375	15117
407	10400	15090
408	10425	15064
409	10450	15038
410	10479	15017
411	10505	14993
412	10530	14967
413	10554	14939
414	10582	14918
415	10609	14894
416	10632	14865
417	10660	14842
418	10685	14816
419	10712	14793
420	10740	14771
421	10764	14744
422	10792	14721
423	10814	14691
424	10841	14667
425	10865	14641
426	10891	14615
427	10917	14591
428	10944	14567
429	10971	14543
430	10998	14520
431	11024	14494
432	11049	14469
433	11087	14459
434	11111	14432
435	11137	14406
436	11162	14381
437	11188	14356
438	11214	14331
439	11241	14307
440	11271	14287
441	11301	14267
442	11331	14247
443	11355	14219
444	11378	14191
445	11406	14168
446	11432	14144
447	11460	14121
448	11487	14097
449	11514	14073
450	11540	14048
451	11567	14023
452	11594	13999
453	11618	13972
454	11646	13950
455	11671	13924
456	11696	13897
457	11722	13872
458	11746	13845
459	11772	13819
460	11799	13795
461	11826	13771
462	11851	13745
463	11877	13720
464	11901	13693
465	11926	13667
466	11952	13642
